GROUP,IND,APER
127.983155919,35.0818751027,65536.0
43.2821363045,8.18437610413,32768.0
15.6879154913,3.27788670242,16384.0
6.03941910264,1.57012920808,8192.0
2.67691172066,0.946219817498,4096.0
1.47006154062,0.690875034983,2048.0
1.00103737582,0.564486481757,1024.0
0.788064675618,0.509955828004,512.0
0.66751069559,0.458885666012,256.0
0.583441405606,0.410656467272,128.0
0.516385572036,0.366768991901,64.0
0.459254948229,0.3273365344,32.0
0.409201746194,0.292066076937,16.0
0.36486081057,0.260569478538,8.0
0.325411929331,0.232459650736,4.0
0.29025798498,0.207378048861,2.0
0.258911875778,0.185000472384,1.0
0.23095451721,0.165036227923,0.5
0.20601730105,0.147225451173,0.25
0.183773192462,0.131336095278,0.125
0.216461611266,0.11716104172,0.125
0.0986921507925,0.11716104172,0.125
0.0329530131717,0.088385738962,0.0625
0.0329530131717,3.14107392967e-05,0.0625
0.136637001335,0.0944320865048,0.03125
0.108730268417,0.0893107750451,0.03125
0.100670628713,0.0743643054504,0.03125
0.0843268423671,0.0675543968827,0.03125
0.0650146958094,0.0437406861725,0.03125
0.0479200803406,0.0263757686638,0.03125
0.0211382204945,0.0263757686638,0.03125
0.00460266273178,0.0647356557055,0.015625
0.00460266273178,2.06905043285e-05,0.015625
0.0948726316033,0.054014673248,0.0078125
0.0661888739385,0.0530409537617,0.0078125
0.0642541945457,0.0488988934587,0.0078125
0.0603087142054,0.0441362879224,0.0078125
0.054816447473,0.039539899133,0.0078125
0.0492452039281,0.0353262820064,0.0078125
0.0440466082306,0.0315305404305,0.0078125
0.0393313471678,0.0281324823386,0.0078125
0.035098635705,0.0250973068932,0.0078125
0.0313138776666,0.0223884954645,0.0078125
0.0257114488684,0.0183232357001,0.0078125
0.0208784055391,0.016486871651,0.0078125
0.015968189572,0.0106482346676,0.0078125
0.0116699520308,0.00642210853937,0.0078125
0.00515165946043,0.00642210853937,0.0078125
0.00114735029069,0.0157174747722,0.00390625
0.00114735029069,5.53206541554e-06,0.00390625
0.0230250434262,0.0131120829793,0.001953125
0.0160643606483,0.012875503136,0.001953125
0.0155954990053,0.0118698135821,0.001953125
0.0146375994148,0.0107135620969,0.001953125
0.0133045455824,0.00959772627485,0.001953125
0.0119523669827,0.00857484947872,0.001953125
0.0106906323334,0.00765343611576,0.001953125
0.00954620082103,0.00682857475812,0.001953125
0.00851888338521,0.00609181180613,0.001953125
0.00760028505808,0.0054342788259,0.001953125
0.00624031475043,0.00444698648076,0.001953125
0.00506730850604,0.00400136834486,0.001953125
0.00387564077963,0.00258442819126,0.001953125
0.00283238299141,0.00155880579376,0.001953125
0.00125051062208,0.00155880579376,0.001953125
0.000278489487407,0.00381501605634,0.0009765625
0.000278489487407,1.00356064081e-06,0.0009765625
0.00558780051833,0.00318257408298,0.00048828125
0.00389926769999,0.00312520305772,0.00048828125
0.00378526605765,0.00288110977078,0.00048828125
0.00355280237414,0.00260045588502,0.00048828125
0.00322926161343,0.00232960968142,0.00048828125
0.00290106932182,0.00208132768842,0.00048828125
0.00259482527193,0.00185767454741,0.00048828125
0.00231705110207,0.00165745798785,0.00048828125
0.00206770194627,0.00147862588938,0.00048828125
0.00184474061568,0.00131902546951,0.00048828125
0.00151463769203,0.00107935454074,0.00048828125
0.00122992783961,0.000971199517608,0.00048828125
0.00094069255028,0.000627290081582,0.00048828125
0.000687471931961,0.000378357754926,0.00048828125
0.000303531866784,0.000378357754926,0.00048828125
